property,booking_channel,late_cancellations,booked_nights,summed_booking_value,mean_booking_value,median_booking_value,value_share_pct
City Hotel,Online TA,313,970,117265.03,374.64865814696486,310.5,47.797498438577414
Resort Hotel,Online TA,70,223,27154.91,387.9272857142857,221.64,11.068404351448255
City Hotel,Groups,117,284,21343.42,182.42239316239315,186,8.699627537074795
City Hotel,Offline TA/TO,101,238,20098.4,198.9940594059406,200,8.192154494975222
Resort Hotel,Direct,40,114,15523.97,388.09925,272.5,6.327606208223565
City Hotel,Direct,54,144,15318,283.6666666666667,224.5,6.243652358099672
Resort Hotel,Groups,48,149,8764.8,182.6,136,3.5725528259741477
Resort Hotel,Offline TA/TO,18,88,8225.2,456.9555555555556,204,3.352610613385653
City Hotel,Corporate,43,73,6386.34,148.51953488372092,150,2.603087008788762
Resort Hotel,Corporate,31,69,4340.1,140.0032258064516,90,1.7690348347949072
City Hotel,Aviation,6,9,917,152.83333333333334,152,0.3737713286576184
City Hotel,Complementary,6,8,0,0,0,0
Resort Hotel,Complementary,4,15,0,0,0,0
