property,booking_channel,all_bookings,cancellations,late_cancellations,late_rate_pct,share_of_all_late_pct
City Hotel,Online TA,6409,2336,313,4.883757216414417,36.694021101992966
City Hotel,Groups,2379,1703,117,4.918032786885246,13.716295427901525
City Hotel,Offline TA/TO,2787,1194,101,3.623968424829566,11.840562719812427
Resort Hotel,Online TA,2934,1040,70,2.3858214042263124,8.206330597889801
City Hotel,Direct,994,137,54,5.4325955734406435,6.330597889800703
Resort Hotel,Groups,1009,417,48,4.757185332011893,5.6271981242672915
City Hotel,Corporate,500,103,43,8.6,5.041031652989449
Resort Hotel,Direct,1144,145,40,3.4965034965034967,4.6893317702227435
Resort Hotel,Corporate,415,57,31,7.469879518072289,3.634232121922626
Resort Hotel,Offline TA/TO,1267,193,18,1.420678768745067,2.1101992966002343
City Hotel,Complementary,96,11,8,8.333333333333334,0.9378663540445487
City Hotel,Aviation,38,7,6,15.789473684210526,0.7033997655334114
Resort Hotel,Complementary,28,5,4,14.285714285714286,0.46893317702227433
