property,canceled,advance_time,arrival_year,arrival_month,arrival_week_number,arrival_day_of_month,weekend_stays,week_stays,num_adults,num_children,meal_package,booking_channel,is_returning,num_cancellations,num_not_canceled,reserved_room_code,assigned_room_code,num_changes,deposit_terms,wait_days,average_daily_rate,status,status_date
Resort Hotel,0,203,2016,December,49,2,2,5,2,0.0,BB,Direct,0,0,0,F,F,4,No Deposit,0,66.8,Check-Out,2016-12-09
City Hotel,1,82,2015,July,29,16,0,3,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,76.5,Canceled,2015-07-16
City Hotel,0,25,2016,December,53,27,0,3,3,0.0,BB,Offline TA/TO,0,0,0,A,K,2,No Deposit,0,60.0,Check-Out,2016-12-30
City Hotel,0,1,2016,March,11,9,0,1,1,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,95.0,Check-Out,2016-03-10
City Hotel,0,70,2017,April,16,16,2,2,2,0.0,SC,Online TA,0,0,0,A,A,0,No Deposit,0,108.0,Check-Out,2017-04-20
City Hotel,0,170,2017,April,17,27,0,3,2,0.0,BB,Online TA,0,0,0,D,D,0,No Deposit,0,130.5,Check-Out,2017-04-30
City Hotel,1,21,2016,March,10,4,0,1,1,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,85.0,Canceled,2016-02-26
City Hotel,0,102,2015,October,42,16,0,2,2,0.0,HB,Offline TA/TO,0,0,0,A,D,0,No Deposit,0,109.0,Check-Out,2015-10-18
Resort Hotel,0,55,2016,November,47,19,2,5,2,0.0,HB,Online TA,0,0,0,D,D,1,No Deposit,0,67.44,Check-Out,2016-11-26
Resort Hotel,0,222,2015,September,38,14,1,1,2,0.0,HB,Groups,0,0,0,A,A,0,No Deposit,0,80.0,Check-Out,2015-09-16
Resort Hotel,0,120,2016,December,53,26,1,3,2,0.0,BB,Online TA,0,0,0,D,D,0,No Deposit,0,54.8,Check-Out,2016-12-30
City Hotel,1,88,2017,February,7,17,0,2,2,0.0,SC,Online TA,0,0,0,A,A,0,No Deposit,0,79.2,Canceled,2016-11-25
Resort Hotel,0,79,2015,December,52,24,2,5,2,0.0,HB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,57.29,Check-Out,2015-12-31
City Hotel,0,41,2016,August,34,15,1,2,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,76.5,Check-Out,2016-08-18
City Hotel,1,239,2015,October,42,17,0,1,2,0.0,BB,Groups,0,1,0,A,A,0,Non Refund,0,60.0,Canceled,2015-08-17
Resort Hotel,0,23,2017,April,16,20,0,2,2,0.0,BB,Groups,0,0,0,A,A,0,No Deposit,0,99.0,Check-Out,2017-04-22
Resort Hotel,0,34,2016,December,50,9,0,1,2,0.0,BB,Online TA,0,0,0,A,D,0,No Deposit,0,48.0,Check-Out,2016-12-10
City Hotel,1,38,2016,May,19,6,2,3,2,1.0,HB,Online TA,0,0,0,A,A,0,No Deposit,0,149.68,Canceled,2016-05-01
City Hotel,0,160,2017,July,28,15,2,5,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,78.35,Check-Out,2017-07-22
Resort Hotel,0,32,2016,October,44,27,2,5,2,0.0,BB,Direct,0,0,0,F,F,0,No Deposit,0,91.85,Check-Out,2016-11-03
Resort Hotel,0,56,2016,March,14,29,0,4,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,58.0,Check-Out,2016-04-02
City Hotel,1,97,2015,October,41,5,1,3,1,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,140.0,Canceled,2015-07-03
Resort Hotel,0,85,2017,April,16,19,1,4,2,0.0,BB,Direct,0,0,0,E,E,2,No Deposit,0,74.6,Check-Out,2017-04-24
City Hotel,0,278,2017,July,30,26,0,4,3,0.0,BB,Online TA,0,0,0,D,D,0,No Deposit,0,165.6,Check-Out,2017-07-30
City Hotel,1,175,2016,August,33,10,0,4,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,99.45,Canceled,2016-03-01
City Hotel,1,26,2017,May,21,22,1,1,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,Non Refund,0,128.0,Canceled,2017-04-26
City Hotel,1,360,2015,October,42,12,1,1,2,0.0,BB,Groups,0,1,0,A,A,0,Non Refund,0,62.0,Canceled,2015-01-01
Resort Hotel,1,378,2016,November,45,1,0,2,2,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,46.0,Canceled,2016-10-18
City Hotel,0,32,2016,January,5,24,2,1,2,0.0,BB,Corporate,0,0,0,A,A,1,No Deposit,15,64.0,Check-Out,2016-01-27
Resort Hotel,0,165,2015,December,53,30,0,4,1,0.0,Undefined,Groups,0,0,0,A,A,0,No Deposit,122,0.0,Check-Out,2016-01-03
City Hotel,0,4,2015,August,35,25,0,4,2,0.0,BB,Groups,0,0,0,A,A,0,No Deposit,0,62.0,Check-Out,2015-08-29
City Hotel,1,179,2016,July,27,1,0,2,2,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,65.0,Canceled,2016-05-10
